time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.14354788583e-07,1.20644460232e-06,10.0059748231,0.00076215034216,0.000111625641215,0.0,-1.06025152082e-05,9.36747565334e-05,0.199146373078,0.0304041756529,0.00534361441685,0.0,467.0302652226351,467.4467504791354,466.17758074718574,468.54682446112
0.12000000000000001,-4.93690073919e-06,3.14884177501e-05,10.0225947697,0.00269123277873,0.000746048615529,0.0,-0.000204603964648,0.00112283144879,0.35481537418,0.0354342768061,0.0193898253663,0.0,453.11075626123,454.2382606655851,454.68260467748087,455.0856973378349
0.18,-4.05258179739e-05,0.000173712619972,10.0505116374,0.00473206809965,0.001864662087,0.0,-0.00111847520632,0.00386772088412,0.57566036481,0.0310107571972,0.017107729252,0.0,472.9726575016021,472.79681692048683,475.0018188698646,474.6629153377615
0.23999999999999996,-0.000149537057137,0.000508787193451,10.0877020836,0.00639987569214,0.00307316090225,0.0,-0.00262779621941,0.00747903107753,0.663972313334,0.0204385197417,0.0256070080852,0.0,433.8074922160581,434.52047121426943,433.3571174672613,432.46788134626553
0.3,-0.000387211537938,0.00111382352828,10.1334458011,0.00776032201431,0.00521252101565,0.0,-0.00551408539538,0.0128388323919,0.860688734162,0.0268068641898,0.0505612592342,0.0,465.8140765568031,467.7616135273497,467.09450841745155,467.59082174093516
0.36000000000000004,-0.000842078437563,0.00205723961489,10.1889177582,0.00925111879356,0.008151262253,0.0,-0.00996457751871,0.0187722537693,0.988271103715,0.0206062429616,0.0456115099115,0.0,447.299571992256,446.8978162322603,445.84286256187096,445.33612413606335
0.4200000000000001,-0.0016046105938,0.00336379524693,10.2495748513,0.010317442208,0.0108593617296,0.0,-0.0157084970153,0.0248879616966,1.0335883755,0.011397409789,0.0441648158417,0.0,418.9899907716493,418.86552664112526,421.89488410292654,421.0990825327997
0.48000000000000015,-0.00277880282249,0.0050715156299,10.3143474545,0.0118650333926,0.013424399516,0.0,-0.0236932558373,0.0321570785916,1.12540757013,0.0451106979853,0.0397615338824,0.0,436.05788333986783,435.6909784782472,433.5364148195924,436.3597024678138
0.5400000000000001,-0.00454970693778,0.00731235045607,10.3894035953,0.0144556655317,0.0157848553524,0.0,-0.0356282286891,0.0428636622094,1.37618739117,0.0390002265556,0.0384863890926,0.0,483.62488512244823,483.5294826476433,484.0103613909784,483.5511852442893
0.6000000000000002,-0.00704644206579,0.0102138386214,10.4764638633,0.0164918896396,0.0178337533887,0.0,-0.0478334979265,0.0540917810919,1.52562574255,0.0211612283602,0.0236364896834,0.0,455.92989834448576,454.74246276140985,453.8478359667053,452.41434207991506
0.6600000000000003,-0.0103939206726,0.0139007184437,10.5767263199,0.0173425225671,0.019114456422,0.0,-0.0639179349623,0.0689430432705,1.81603490865,-0.0058877044481,0.0163160288124,0.0,496.5201356922084,495.9827852955464,496.5723271774535,494.5842328719556
0.7200000000000003,-0.0146449682888,0.018409340559,10.6895687987,0.0169071058168,0.0203069269381,0.0,-0.0778959722433,0.0812987287903,1.94516782081,-0.0101466645742,0.0261800997929,0.0,449.0244558239326,449.82387192491757,449.3858899698657,449.04066489212755
0.7800000000000004,-0.019711354999,0.0236071736869,10.8076781491,0.0160133930594,0.0216675529959,0.0,-0.0911210547859,0.0918921899569,1.99172783509,-0.0266657614909,0.0145435386711,0.0,424.0615362762961,423.0608935694927,424.0479320277449,422.6266543002841
0.8400000000000004,-0.0256919722748,0.0294897212382,10.9330050383,0.0144958534299,0.0229473466123,0.0,-0.108353127928,0.104006414969,2.18548420775,-0.0226783017157,0.0322800535881,0.0,468.88699201617277,470.2627806081335,469.31820114639896,469.6274973552864
0.9000000000000005,-0.0326044501456,0.0359810802707,11.0641148334,0.0130121015924,0.0245813092174,0.0,-0.122220872675,0.112248246676,2.18484068763,-0.0291829988451,0.014507604718,0.0,409.7597733785766,408.1770734802561,408.6038395015427,408.0233966563192
0.9600000000000005,-0.0405814571193,0.043046224085,11.2035524996,0.0116556657307,0.0253783364478,0.0,-0.143773045459,0.123052951231,2.46252459622,-0.0119358970219,0.0107164223229,0.0,493.63135563659864,493.3513914263114,494.866433250141,496.13427380756207
1.0200000000000005,-0.049672226501,0.0506387895868,11.3518448563,0.011001005485,0.0259262554032,0.0,-0.159305740714,0.129970236982,2.48051333513,-0.00893621971935,0.00575821228966,0.0,415.9979446896242,415.563446136953,416.5350368959075,416.79739280148004
1.0800000000000005,-0.0599117387078,0.0587221790573,11.5092053712,0.0100283173419,0.0262330176376,0.0,-0.182037354913,0.139380159213,2.76419409436,-0.037614382694,0.00378930967953,0.0,497.8081395771472,497.6639574546789,498.06454048503804,495.9627956010725
1.1400000000000006,-0.0713046828724,0.0672562615307,11.6752770993,0.00740940833259,0.0267903466028,0.0,-0.197763851773,0.144876909893,2.77151282962,-0.059821792715,0.0184876048855,0.0,413.9124895372539,415.2039256472,414.8247481345591,412.868662652009
1.2000000000000006,-0.0837712838496,0.0760982031548,11.8461320718,0.00390779647833,0.0279733608487,0.0,-0.217905759806,0.149462671986,2.92327547092,-0.0555876111858,0.0220684567264,0.0,459.71267485199616,459.99627608392746,460.5963171353007,460.9288150814201
1.2600000000000007,-0.0973599330744,0.0851250798661,12.0220318392,0.000758124398467,0.0300457045104,0.0,-0.235207602762,0.151142215638,2.9400026587,-0.0469345417897,0.0520070264268,0.0,416.6005843970795,419.2107502371874,418.2241179264113,418.9751184715829
